EQID,"EQNAME",YYYY,MN,DD,HH,MM,SEC,LAT,LON,DEPTH,MAG,DELTA_GMT,LOC_HH,"LOC_DOW","ISO_COUNTRY","ISO_CODE",ISO_DIST,PAGER_REG,SHAKE_DEATHS,SD_FLAG,GROWTH,SHAKEMAP_UNCERT,"SHAKEMAP_GMPE",U010,U020,U030,U040,U050,U060,U070,U080,U090,U100,R010,R020,R030,R040,R050,R060,R070,R080,R090,R100,MAXMMI
196002292340,"Agadir, Morocco",1960,02,29,23,40,12,30.500,-9.500,NaN,6.8,NaN,NaN,Mon,MOROCCO,MA,0,4,13100,NaN,0.0155,,Regression::BJF97,0,0,0,0,996295,88029,71926,127753,293816,0,0,0,0,480,1446123,255071,110521,5140,3511,0,9
196005221911,"Concepcion, Chile",1960,05,22,19,11,17,-38.294,-73.054,35,9.6,-4,15,Sun,CHILE,CL,0,4,NaN,NaN,0.0094,0.99533,Regression::Youngs97_interface,0,0,571458,3804437,3081063,396545,740296,391495,124929,100334,0,0,420815,989213,698213,355701,1066391,79207,1267,410,9
196209011920,"Buyin-Zara, Iran",1962,09,01,19,20,40,35.563,49.817,19,6.9,3.5,22.5,Sat,IRAN; ISLAMIC REPUBLIC OF,IR,0,5,12225,NaN,0.011,0.78697,Regression::BJF97,0,0,0,781934,12222062,583615,65,0,0,0,0,0,0,407535,2125443,130496,91100,26390,3940,0,9
196307260417,"Skopje, Yugoslavia",1963,07,26,04,17,00,42.100,21.500,5,6.0,NaN,NaN,Fri,MACEDONIA; THE FORMER YUGOSLAV REPUBLIC OF,MK,0,3,1070,NaN,0.0026,0.99756,Regression::BJF97,0,0,0,3752419,4135161,343300,15165,477674,20407,0,0,0,0,3398064,2786671,268046,24748,4833,0,0,9
196403280336,"Prince William Sound, Alaska",1964,03,28,03,36,12,61.019,-147.626,6.3,9.2,-9,18,Fri,UNITED STATES MINOR OUTLYING ISLANDS,UM,0,2,NaN,NaN,-0.00115,0.98939,Regression::Youngs97_interface,0,0,0,0,0,2426,350047,9047,0,0,0,0,0,937,8708,11743,49965,14913,0,0,8
196504291528,"Puget Sound, Washington",1965,04,29,15,28,45,47.317,-122.333,65.7,6.5,-8,7,Thu,UNITED STATES,US,0,2,7,NaN,0.0091,0.87169,Regression::Youngs97_intraslab,0,0,0,1596774,1866548,1059163,1481907,127783,0,0,0,0,0,91667,235811,172849,104612,3011,0,0,8
196606280426,"Parkfield, California",1966,06,28,04,26,15,35.875,-120.487,1.2,6.1,-8,20,Mon,UNITED STATES,US,0,1,NaN,NaN,0.0091,0.89216,Regression::BJF97,0,0,504218,16544433,472502,58012,0,0,0,0,0,0,2572,420895,64353,4268,384,204,95,0,8
196608191222,"Varto, Turkey",1966,08,19,12,22,10,39.165,41.575,17,6.8,2,14,Fri,TURKEY,TR,0,3,2517,NaN,0.0106,0.70055,Regression::BJF97,0,0,0,12251,1761399,80124,4246,2668,0,0,0,0,0,100176,1600033,196091,70510,12114,0,0,8
196702091524,"Huila, Colombia",1967,02,09,15,24,47,2.890,-74.801,41.4,7.2,-5,10,Thu,COLOMBIA,CO,0,4,98,NaN,0.0146,1.0327,Regression::Youngs97_interface,0,0,783279,2833738,3151191,2896472,105633,196168,1796,0,0,0,816459,2042161,582820,186715,52480,13718,526,0,9
196707221656,"Mudurnu Valley, Turkey",1967,07,22,16,56,55,40.629,30.740,4.4,7.4,2,18,Sat,TURKEY,TR,0,3,173,NaN,0.0106,,,0,0,0,594386,11613081,576294,268898,173731,246899,41064,0,0,0,618788,2269699,334072,126466,45349,30106,30226,9
